Stkcd,Year,TFP_OLS,lnY,lnL,lnK,lnM
000016,2021,4.958214333103105,24.617257524243062,9.695109453422392,22.112130710750957,24.55595186480149
000016,2022,4.75939300508101,24.111305509540106,9.582800078470363,22.13766884579333,24.112386852252087
000016,2023,4.684443106301694,23.605231889526067,9.554355517768125,22.375437083198218,23.40727563271395
000016,2024,4.60211597914945,23.131540148832556,9.499870735285581,22.333870454177706,22.809464117705055
000017,2020,4.852236387508563,18.58498665728803,4.174387269895637,15.148439310515014,18.38755600089652
000017,2021,4.8660544501141425,18.92294932816092,4.110873864173311,15.050752933341652,18.94778631459629
000017,2022,5.172819961073125,19.91305040127609,4.143134726391533,14.650331929646637,20.073976927674444
000017,2023,5.273010372642401,20.158480046409238,4.23410650459726,14.643455248034376,20.26565361360729
000017,2024,5.238597696726477,20.178313318668675,4.394449154672439,14.890909864681836,20.250658746562863
000019,2020,5.280840124117387,23.198503181506794,7.1276936993473985,20.83899564666521,23.093000074610277
000019,2021,5.120942880441022,23.039710807567406,7.15305163493748,21.478369058092504,23.010951239954633
000019,2022,5.106017135982332,22.841053076636328,7.119635638017636,21.484696021898603,22.731006854171092
000019,2023,5.0261743985555976,22.54620178904157,7.102499355774649,21.498900300256132,22.392490126737147
000019,2024,4.892175811270769,22.40504112652462,7.057897937411856,21.42116186583095,22.410379107710984
000020,2020,4.611684233824932,20.35472400073944,7.0317412587631285,19.081332854983632,19.84786887756841
000020,2021,4.710221870918127,20.456185090654436,7.0326242610280065,19.051363312670738,19.855529278207516
000020,2022,5.029855828779483,20.314447806250353,5.948034989180646,18.956839847260845,19.627389454252093
000020,2023,4.827543560403812,20.403805719010503,6.186208623900494,18.871152481203563,19.994784244795067
000020,2024,4.752428656699398,20.520761158851293,6.194405391104672,18.914354242110754,20.294169260568168
000021,2020,4.610441542899577,23.429129305319073,10.205479252168017,21.93257844183139,22.99260464794973
000021,2021,4.731549222851119,23.525914035582254,10.200513336241043,22.172330481240603,22.928852377012337
000021,2022,4.884734026424618,23.503225772566186,9.785210644945074,22.162424671952152,22.839799945936793
000021,2023,4.8263641223007285,23.381050172649836,9.75504554717585,22.302957978244713,22.73555768416895
000021,2024,4.70772848218946,23.41972691000827,9.919852906622392,22.453015121616758,22.89478261245322
000025,2020,4.710241026837616,19.86623221188967,5.71042701737487,18.59578396034891,19.571646076791477
000025,2021,4.8318269838155326,20.04701515552893,5.697093486505405,18.51087054816132,19.68232371200194
000025,2022,4.737169959320725,20.5461184006864,5.75890177387728,18.44722088218157,20.613221078053808
000025,2023,5.318601977556015,21.33668713232969,5.017279836814924,18.18414597277166,21.32098317745903
000025,2024,5.154917396419465,21.684024339891785,5.075173815233827,18.07485647861456,22.126139287565795
000026,2020,4.720847506400749,22.16864008682968,8.497194544909547,19.681225585719876,21.83718081048998
000026,2021,4.774702111795247,22.38029958937725,8.533263371593732,19.672000719405293,22.074644076632705
000026,2022,4.737022673874397,22.19438305039776,8.371242135931933,19.714390312242145,21.9069840855097
000026,2023,4.814243509585546,22.242711206507995,8.351846738828245,19.68983817068499,21.87237647638944
000026,2024,4.810357407943198,22.094581306017737,8.202482446576537,19.74926162535586,21.703351681115745
000027,2020,4.997406208464139,23.74146904439857,8.907070776182689,24.286757924604046,23.20738486819101
000027,2021,4.793044747101168,24.17545902954125,9.45782525467655,24.77587203584774,23.921535692524852
000027,2022,4.994931058150098,24.348265665058626,9.502412792729256,24.80581533876405,23.850918202663664
000027,2023,4.937182790947234,24.424678802821067,9.409191230721348,24.778149918521102,24.112282158528465
000027,2024,4.99652704867425,24.44203434955935,9.435641593844192,24.918511370568837,24.016889468293176
000028,2020,4.893976030804844,24.81175084901993,10.5529179276508,20.565665477625984,24.748942494512157
000028,2021,4.938862427805916,24.948021652140785,10.581165702192141,20.582423508358687,24.88056356660157
000028,2022,4.9377793788411894,25.019777297326506,10.578878011506815,20.560878282159777,25.000869808414116
000028,2023,4.99936429094326,25.047100231776337,10.582763977410282,20.57966800132568,24.942005547133526
000028,2024,5.003732358995724,25.032432683097696,10.458263073829322,20.584220772456888,24.968490318305527
000029,2020,5.309652671853418,21.20260680838932,7.419380582918692,17.149141850872166,20.12708603409768
000029,2021,4.244296729767503,21.001496370328592,7.363913501405819,16.990243235635017,21.556720982097293
000029,2022,4.817891779868003,20.268165892270005,5.62040086571715,16.880091194897755,20.278701297276054
000029,2023,4.820726157875208,20.090061108034202,5.58724865840025,16.807638833412003,20.011998330529362
000029,2024,4.813891359413327,19.82437826634307,5.4510384535657,16.67709453836402,19.67451512405271
